Color 0xFF0000
48.8778 2.32695
48.8789 2.32361
48.8791 2.32365
48.8794 2.32551
48.8806 2.32492
48.8807 2.32474
48.881 2.32471
48.882 2.32445
48.8823 2.32606
48.8833 2.32681
48.8833 2.32718
48.8813 2.32708
48.8808 2.32706
48.8804 2.32705
48.8805 2.32881
48.8809 2.32863
48.8813 2.32846
48.8813 2.32708
48.8808 2.32706
48.8804 2.32705
48.8796 2.32702
48.8797 2.3269
48.8805 2.32517
48.8808 2.32706
48.8804 2.32705
48.8796 2.32702
48.8787 2.32698
48.8778 2.32695
48.8772 2.32692
48.8771 2.32692
48.8756 2.3266
48.8757 2.32779
48.8771 2.32692
48.8756 2.3266
48.8748 2.32677
48.8742 2.32692
48.8742 2.32715
48.8742 2.32839
48.8736 2.32835
48.8737 2.32718
48.8738 2.32687
48.8739 2.32579
48.8741 2.3246
48.875 2.32458
48.8753 2.32428
48.8756 2.3239
48.8772 2.32304
48.8781 2.32262
48.8789 2.32326
48.8789 2.32361
48.8791 2.32365
48.8792 2.3235
48.8791 2.32313
48.8789 2.3231
48.8789 2.32326
48.8781 2.32262
48.8788 2.32224
48.8788 2.32239
48.8789 2.32298
48.8789 2.3231
48.8789 2.32326
48.8781 2.32262
48.877 2.32179
48.8769 2.32166
48.8758 2.32292
48.8758 2.32293
48.8754 2.32388
48.8752 2.32383
48.8753 2.32428
48.8756 2.3266
48.8757 2.32779
48.8758 2.32852
48.8761 2.33109
48.8762 2.33186
48.8753 2.3323
48.8746 2.33258
48.8746 2.33136
48.875 2.33141
48.8747 2.33029
48.8746 2.33136
48.875 2.33141
48.8761 2.33109
48.8766 2.33094
48.8768 2.33083
48.8775 2.33048
48.8781 2.33012
48.879 2.32959
48.8797 2.3292
48.8799 2.32912
48.8805 2.32881
48.8804 2.32705
48.8796 2.32702
48.8797 2.3292
48.8799 2.32912
48.8801 2.33064
48.8801 2.33141
48.8801 2.33142
48.8779 2.33192
48.8795 2.33378
48.8793 2.33479
48.8802 2.33532
48.8809 2.33573
48.8812 2.33613
48.8819 2.33433
48.8821 2.33392
48.8822 2.3337
48.8823 2.33362
48.8836 2.33257
48.8836 2.3326
48.8839 2.33279
48.8847 2.3336
48.8848 2.33373
48.8851 2.33402
48.8851 2.33405
48.8854 2.33434
48.8858 2.33479
48.8861 2.33416
48.8862 2.33427
48.8871 2.3339
48.8875 2.33336
48.8895 2.33573
48.8896 2.337
48.8893 2.33702
48.889 2.33806
48.889 2.33819
48.8896 2.33849
48.8897 2.33975
48.8897 2.34017
48.8897 2.34048
48.8898 2.34293
48.8902 2.34326
48.8912 2.3436
48.8918 2.34392
48.8917 2.34463
48.8911 2.34428
48.8912 2.3436
48.8912 2.34266
48.8913 2.3422
48.8913 2.34196
48.8923 2.34235
48.8928 2.34257
48.8927 2.34327
48.8921 2.34302
48.8912 2.34266
48.8913 2.3422
48.8913 2.34196
48.8913 2.34156
48.8913 2.34064
48.8912 2.33962
48.8908 2.34051
48.8913 2.34064
48.8912 2.33962
48.8914 2.33988
48.8925 2.34147
48.8923 2.34235
48.8921 2.34302
48.8918 2.34392
48.8925 2.3443
48.8928 2.34446
48.8926 2.3451
48.8924 2.345
48.8925 2.3443
48.8926 2.34378
48.8927 2.34381
48.8933 2.34282
48.8943 2.34143
48.8948 2.34075
48.8946 2.34065
48.8934 2.3403
48.8931 2.34021
48.893 2.34079
48.8929 2.34195
48.8928 2.34257
48.8929 2.34195
48.8928 2.34257
48.8927 2.34327
48.8926 2.34378
48.8927 2.34381
48.8946 2.34444
48.8943 2.34537
48.8942 2.34596
48.8938 2.34571
48.8935 2.34558
48.8926 2.3451
48.8924 2.345
48.8922 2.34609
48.8922 2.34628
48.892 2.34694
48.8917 2.34873
48.8913 2.34735
48.8908 2.34552
48.8908 2.34546
48.8908 2.34532
48.8911 2.34428
48.8906 2.34415
48.8902 2.34405
48.8901 2.34582
48.8898 2.34598
48.8895 2.34616
48.8893 2.3447
48.889 2.34523
48.8891 2.34532
48.8889 2.34625
48.8888 2.3457
48.8886 2.3449
48.8893 2.34457
48.8895 2.34388
48.8898 2.34293
48.8902 2.342
48.8904 2.34159
48.8905 2.34131
48.8908 2.34051
48.8913 2.34064
48.8912 2.33962
48.8914 2.33782
48.8905 2.33739
48.8912 2.33962
48.8914 2.33988
48.8925 2.34147
48.8929 2.34195
48.893 2.34079
48.8931 2.34021
48.8934 2.33825
48.8935 2.33734
48.8936 2.33637
48.8953 2.33758
48.8955 2.33862
48.8964 2.33888
48.8964 2.34177
48.8963 2.34168
48.8958 2.34138
48.8958 2.3415
48.8958 2.34323
48.8963 2.34168
48.8958 2.34138
48.8948 2.34075
48.8955 2.33989
48.8958 2.33954
48.8956 2.3389
48.8955 2.33862
48.8956 2.3389
48.8955 2.33862
48.8964 2.33888
48.8967 2.33854
48.8953 2.33758
48.8955 2.33862
48.8953 2.33758
48.8955 2.33862
48.8953 2.33758
48.8955 2.33862
48.8964 2.33888
48.8967 2.33854
48.8967 2.33849
48.8968 2.33845
48.8969 2.33829
48.8966 2.33617
48.8966 2.33587
48.8971 2.33368
48.8974 2.3339
48.8977 2.33413
48.8977 2.33336
48.8977 2.33241
48.8975 2.32648
48.8975 2.32654
48.8975 2.32777
48.8975 2.32859
48.8977 2.32859
48.8975 2.32648
48.8989 2.32644
48.899 2.32872
48.899 2.32915
48.8977 2.32902
48.8975 2.32895
48.8966 2.32869
48.8959 2.32844
48.8957 2.3284
48.8956 2.32833
48.8957 2.32981
48.8953 2.32954
48.8946 2.32908
48.8943 2.32992
48.8935 2.32943
48.8936 2.3301
48.8942 2.33262
48.8947 2.33464
48.8949 2.33551
48.8938 2.33509
48.8936 2.33637
48.8936 2.33631
48.8931 2.33777
48.8934 2.33825
48.8937 2.33891
48.8946 2.34065
48.8934 2.3403
48.8937 2.33891
48.8938 2.33879
48.8955 2.33862
48.8956 2.3389
48.8958 2.33954
48.8958 2.34138
48.8958 2.33954
48.8964 2.33888
48.8967 2.33854
48.8953 2.33758
48.8936 2.33637
48.8936 2.33631
48.8919 2.3351
48.8917 2.33496
48.8931 2.33368
48.8942 2.33262
48.8939 2.33436
48.8947 2.33464
48.8949 2.33551
48.8953 2.33758
48.8967 2.33854
48.8967 2.33849
48.8972 2.34229
48.8968 2.34203
48.8964 2.34361
48.8958 2.34339
48.8955 2.34334
48.8949 2.34324
48.8936 2.34302
48.8933 2.34282
48.8943 2.34143
48.8949 2.34177
48.8951 2.34231
48.8952 2.34191
48.8949 2.34177
48.8943 2.34143
48.8948 2.34075
48.8946 2.34065
48.8934 2.3403
48.8931 2.34021
48.8927 2.34008
48.8925 2.34147
48.8929 2.34195
48.893 2.34079
48.8931 2.34021
48.8927 2.34008
48.8914 2.33969
48.8912 2.33962
48.8914 2.33988
48.8925 2.34147
48.8929 2.34195
48.893 2.34079
48.8931 2.34021
48.8927 2.34008
48.8925 2.34147
48.8929 2.34195
48.893 2.34079
48.8929 2.34195
48.893 2.34079
48.8929 2.34195
48.8928 2.34257
48.8927 2.34327
48.8928 2.34257
48.8929 2.34195
